10:37:03.315 [main] INFO  utilities.Listeners - Execution started
10:37:12.142 [main] INFO  utilities.Listeners - addEmployee Test execution started
10:37:12.153 [main] INFO  testCases.AddEmployeeTest - Landed into login page
10:37:14.112 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
10:37:15.386 [main] INFO  testCases.AddEmployeeTest - page title is matched
10:37:19.697 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
10:37:21.038 [main] INFO  testCases.AddEmployeeTest - Success Message is matched
10:37:21.676 [main] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
10:37:22.244 [main] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
10:37:22.352 [main] INFO  testCases.AddEmployeeTest - Created Employee details is displayed in the table
10:37:25.254 [main] INFO  testCases.AddEmployeeTest - Logged out Successfully
10:37:27.005 [main] INFO  utilities.Listeners - Execution completed
