15:47:09.494 [main] INFO  utilities.Listeners - Execution started
15:47:19.053 [main] INFO  utilities.Listeners - testLoginAndLogout Test execution started
15:47:19.062 [main] INFO  testCases.LoginandLogoutTest - Landed into login page
15:47:20.188 [main] INFO  testCases.LoginandLogoutTest - Logged in Successfully
15:47:21.974 [main] INFO  testCases.LoginandLogoutTest - page title is matched
15:47:25.193 [main] INFO  testCases.LoginandLogoutTest - Logged out Successfully
15:47:30.358 [main] INFO  utilities.Listeners - addEmployee Test execution started
15:47:30.362 [main] INFO  testCases.AddEmployeeTest - Landed into login page
15:47:32.483 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
15:47:36.458 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
15:47:37.882 [main] INFO  testCases.AddEmployeeTest - Success Message is matched
15:47:38.893 [main] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
15:47:39.564 [main] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
15:47:39.666 [main] INFO  testCases.AddEmployeeTest - Created Employee details is displayed in the table
15:47:40.099 [main] INFO  testCases.AddEmployeeTest - EmployeeId is matched
15:47:48.444 [main] INFO  utilities.Listeners - employeeDetails Test execution started
15:47:48.448 [main] INFO  testCases.EmployeeDetailsTest - Landed into login page
15:47:52.077 [main] INFO  testCases.EmployeeDetailsTest - Logged in Successfully
15:47:53.706 [main] INFO  testCases.EmployeeDetailsTest - Successfully landed into Employee List page
15:47:54.388 [main] INFO  testCases.EmployeeDetailsTest - Created EmployeeId is entered in the employeeId field
15:47:54.479 [main] INFO  testCases.EmployeeDetailsTest - Created Employee details is displayed in the table
15:47:55.067 [main] ERROR testCases.EmployeeDetailsTest - Test Failed
15:48:04.337 [main] INFO  utilities.Listeners - employeeDetails Test execution started
15:48:04.339 [main] INFO  testCases.EmployeeDetailsTest - Landed into login page
15:48:08.211 [main] INFO  testCases.EmployeeDetailsTest - Logged in Successfully
15:48:09.656 [main] INFO  testCases.EmployeeDetailsTest - Successfully landed into Employee List page
15:48:10.229 [main] INFO  testCases.EmployeeDetailsTest - Created EmployeeId is entered in the employeeId field
15:48:10.328 [main] INFO  testCases.EmployeeDetailsTest - Created Employee details is displayed in the table
15:48:10.926 [main] INFO  testCases.EmployeeDetailsTest - EmployeeId is matched
15:48:12.599 [main] INFO  utilities.Listeners - Execution completed
