19:20:17.998 [main] INFO  utilities.Listeners - Execution started
19:20:22.252 [main] INFO  utilities.Listeners - testLoginAndLogout Test execution started
19:20:22.256 [main] INFO  testCases.LoginandLogoutTest - Landed into login page
19:20:24.028 [main] INFO  testCases.LoginandLogoutTest - Logged in Successfully
19:20:24.034 [main] INFO  testCases.LoginandLogoutTest - page title is matched
19:20:26.141 [main] INFO  testCases.LoginandLogoutTest - Logged out Successfully
19:20:30.306 [main] INFO  utilities.Listeners - addEmployee Test execution started
19:20:30.308 [main] INFO  testCases.AddEmployeeTest - Landed into login page
19:20:32.097 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
19:20:35.326 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
19:20:37.036 [main] INFO  testCases.AddEmployeeTest - Success Message is matched
19:20:37.514 [main] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
19:20:37.961 [main] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
19:20:38.017 [main] INFO  testCases.AddEmployeeTest - Created Employee details is displayed in the table
19:20:38.464 [main] ERROR testCases.AddEmployeeTest - Test Failed
19:20:42.602 [main] INFO  utilities.Listeners - addEmployee Test execution started
19:20:42.603 [main] INFO  testCases.AddEmployeeTest - Landed into login page
19:20:44.347 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
19:20:47.749 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
19:20:49.024 [main] INFO  testCases.AddEmployeeTest - Success Message is matched
19:20:49.519 [main] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
19:20:49.986 [main] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
19:20:50.043 [main] INFO  testCases.AddEmployeeTest - Created Employee details is displayed in the table
19:20:50.494 [main] INFO  testCases.AddEmployeeTest - EmployeeId is matched
19:20:54.635 [main] INFO  utilities.Listeners - employeeDetails Test execution started
19:20:54.636 [main] INFO  testCases.EmployeeDetailsTest - Landed into login page
19:20:56.344 [main] INFO  testCases.EmployeeDetailsTest - Logged in Successfully
19:20:57.856 [main] INFO  testCases.EmployeeDetailsTest - Successfully landed into Employee List page
19:20:58.319 [main] INFO  testCases.EmployeeDetailsTest - Created EmployeeId is entered in the employeeId field
19:20:58.379 [main] INFO  testCases.EmployeeDetailsTest - Created Employee details is displayed in the table
19:20:58.780 [main] ERROR testCases.EmployeeDetailsTest - Test Failed
19:21:02.971 [main] INFO  utilities.Listeners - employeeDetails Test execution started
19:21:02.972 [main] INFO  testCases.EmployeeDetailsTest - Landed into login page
19:21:04.681 [main] INFO  testCases.EmployeeDetailsTest - Logged in Successfully
19:21:06.248 [main] INFO  testCases.EmployeeDetailsTest - Successfully landed into Employee List page
19:21:06.729 [main] INFO  testCases.EmployeeDetailsTest - Created EmployeeId is entered in the employeeId field
19:21:06.800 [main] INFO  testCases.EmployeeDetailsTest - Created Employee details is displayed in the table
19:21:07.200 [main] ERROR testCases.EmployeeDetailsTest - Test Failed
19:21:11.348 [main] INFO  utilities.Listeners - employeeDetails Test execution started
19:21:11.348 [main] INFO  testCases.EmployeeDetailsTest - Landed into login page
19:21:13.112 [main] INFO  testCases.EmployeeDetailsTest - Logged in Successfully
19:21:14.753 [main] INFO  testCases.EmployeeDetailsTest - Successfully landed into Employee List page
19:21:15.194 [main] INFO  testCases.EmployeeDetailsTest - Created EmployeeId is entered in the employeeId field
19:21:15.251 [main] INFO  testCases.EmployeeDetailsTest - Created Employee details is displayed in the table
19:21:15.691 [main] INFO  testCases.EmployeeDetailsTest - EmployeeId is matched
19:21:16.712 [main] INFO  utilities.Listeners - Execution completed
