12:38:37.166 [main] INFO  utilities.Listeners - Execution started
12:38:41.546 [main] INFO  utilities.Listeners - addEmployee Test execution started
12:38:41.550 [main] INFO  testCases.AddEmployeeTest - Landed into login page
12:38:43.353 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
12:38:46.915 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
12:38:48.191 [main] INFO  testCases.AddEmployeeTest - Success Message is matched
12:38:48.672 [main] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
12:38:49.120 [main] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
12:38:51.177 [main] INFO  testCases.AddEmployeeTest - Created Employee details is displayed in the table
12:38:52.268 [main] INFO  utilities.Listeners - Execution completed
