18:22:25.575 [main] INFO  utilities.Listeners - Execution started
18:22:33.999 [TestNG-test=Parallel Test-1] INFO  utilities.Listeners - addEmployee Test execution started
18:22:34.002 [TestNG-test=Parallel Test-1] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
18:22:34.996 [TestNG-test=Parallel Test-2] INFO  utilities.Listeners - existEmployeeDetails Test execution started
18:22:34.996 [TestNG-test=Parallel Test-2] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
18:22:35.531 [TestNG-test=Parallel Test-3] INFO  utilities.Listeners - notExistEmployeeDetails Test execution started
18:22:35.552 [TestNG-test=Parallel Test-3] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
18:22:36.713 [TestNG-test=Parallel Test-4] INFO  utilities.Listeners - deleteEmployee Test execution started
18:22:36.713 [TestNG-test=Parallel Test-4] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
18:22:39.077 [TestNG-test=Parallel Test-1] INFO  testCases.ExistEmployeeDetailsTest - Logged in Successfully
18:22:39.088 [TestNG-test=Parallel Test-1] INFO  testCases.ExistEmployeeDetailsTest - page title is matched
18:22:39.114 [TestNG-test=Parallel Test-1] ERROR testCases.ExistEmployeeDetailsTest - Test Failed
18:22:39.119 [TestNG-test=Parallel Test-3] INFO  utilities.Listeners - notExistEmployeeDetails Test execution started
18:22:39.119 [TestNG-test=Parallel Test-3] INFO  testCases.AddEmployeeTest - Landed into login page
18:22:39.120 [TestNG-test=Parallel Test-2] INFO  utilities.Listeners - existEmployeeDetails Test execution started
18:22:39.120 [TestNG-test=Parallel Test-2] INFO  testCases.AddEmployeeTest - Landed into login page
18:22:39.126 [TestNG-test=Parallel Test-3] INFO  utilities.Listeners - notExistEmployeeDetails Test execution started
18:22:39.126 [TestNG-test=Parallel Test-3] INFO  testCases.AddEmployeeTest - Landed into login page
18:22:39.126 [TestNG-test=Parallel Test-2] INFO  utilities.Listeners - existEmployeeDetails Test execution started
18:22:39.127 [TestNG-test=Parallel Test-2] INFO  testCases.AddEmployeeTest - Landed into login page
18:22:39.132 [TestNG-test=Parallel Test-3] INFO  utilities.Listeners - notExistEmployeeDetails Test execution started
18:22:39.132 [TestNG-test=Parallel Test-3] INFO  testCases.AddEmployeeTest - Landed into login page
18:22:39.133 [TestNG-test=Parallel Test-2] INFO  utilities.Listeners - existEmployeeDetails Test execution started
18:22:39.133 [TestNG-test=Parallel Test-2] INFO  testCases.AddEmployeeTest - Landed into login page
18:22:39.411 [TestNG-test=Parallel Test-4] INFO  utilities.Listeners - deleteEmployee Test execution started
18:22:39.411 [TestNG-test=Parallel Test-4] INFO  testCases.AddEmployeeTest - Landed into login page
18:22:39.419 [TestNG-test=Parallel Test-4] INFO  utilities.Listeners - deleteEmployee Test execution started
18:22:39.419 [TestNG-test=Parallel Test-4] INFO  testCases.AddEmployeeTest - Landed into login page
18:22:39.423 [TestNG-test=Parallel Test-4] INFO  utilities.Listeners - deleteEmployee Test execution started
18:22:39.423 [TestNG-test=Parallel Test-4] INFO  testCases.AddEmployeeTest - Landed into login page
18:22:44.245 [TestNG-test=Parallel Test-1] INFO  utilities.Listeners - addEmployee Test execution started
18:22:44.245 [TestNG-test=Parallel Test-1] INFO  testCases.AddEmployeeTest - Landed into login page
18:22:46.631 [TestNG-test=Parallel Test-1] INFO  testCases.AddEmployeeTest - Logged in Successfully
18:22:46.638 [TestNG-test=Parallel Test-1] INFO  testCases.AddEmployeeTest - page title is matched
18:22:50.201 [TestNG-test=Parallel Test-1] INFO  testCases.AddEmployeeTest - New Employee added Successfully
18:22:51.587 [TestNG-test=Parallel Test-1] INFO  testCases.AddEmployeeTest - Success Message is matched
18:22:52.135 [TestNG-test=Parallel Test-1] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
18:22:52.660 [TestNG-test=Parallel Test-1] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
18:22:53.557 [TestNG-test=Parallel Test-1] INFO  testCases.AddEmployeeTest - Created Employee is displayed in the table
18:22:54.473 [TestNG-test=Parallel Test-1] INFO  testCases.AddEmployeeTest - Logged out Successfully
18:22:55.758 [main] INFO  utilities.Listeners - Execution completed
