12:37:32.568 [main] INFO  utilities.Listeners - Execution started
12:37:36.778 [main] INFO  utilities.Listeners - addEmployee Test execution started
12:37:36.783 [main] INFO  testCases.AddEmployeeTest - Landed into login page
12:37:38.497 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
12:37:41.944 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
12:37:43.164 [main] INFO  testCases.AddEmployeeTest - Success Message is matched
12:37:43.625 [main] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
12:37:44.061 [main] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
12:37:44.118 [main] INFO  testCases.AddEmployeeTest - Created Employee details is displayed in the table
12:37:45.157 [main] INFO  utilities.Listeners - Execution completed
