15:24:22.692 [main] INFO  utilities.Listeners - Execution started
15:24:27.144 [main] INFO  utilities.Listeners - addEmployee Test execution started
15:24:27.151 [main] INFO  testCases.AddEmployeeTest - Landed into login page
15:24:27.789 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
15:24:28.911 [main] INFO  testCases.AddEmployeeTest - page title is matched
15:24:32.100 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
15:24:33.390 [main] INFO  testCases.AddEmployeeTest - Success Message is matched
15:24:33.931 [main] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
15:24:34.395 [main] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
15:24:34.463 [main] INFO  testCases.AddEmployeeTest - Created Employee details is displayed in the table
15:25:33.264 [main] ERROR testCases.AddEmployeeTest - Test Failed
