19:52:10.327 [main] INFO  utilities.Listeners - Execution started
19:52:14.740 [main] INFO  utilities.Listeners - testLoginAndLogout Test execution started
19:52:14.744 [main] INFO  testCases.LoginandLogoutTest - Landed into login page
19:52:16.486 [main] INFO  testCases.LoginandLogoutTest - Logged in Successfully
19:52:16.492 [main] INFO  testCases.LoginandLogoutTest - page title is matched
19:52:20.958 [main] INFO  testCases.LoginandLogoutTest - Logged out Successfully
19:52:20.977 [main] INFO  utilities.Listeners - addEmployee Test execution started
19:52:21.018 [main] INFO  testCases.LoginandLogoutTest - Landed into login page
19:52:22.202 [main] INFO  testCases.LoginandLogoutTest - Logged in Successfully
19:52:25.895 [main] INFO  testCases.LoginandLogoutTest - New Employee added Successfully
19:52:27.164 [main] INFO  testCases.LoginandLogoutTest - textToBePresentInElementLocatedis not found
19:52:27.166 [main] INFO  utilities.Listeners - addEmployee Test execution started
19:52:27.168 [main] INFO  testCases.LoginandLogoutTest - Landed into login page
19:52:37.201 [main] ERROR testCases.LoginandLogoutTest - Test Failed
19:52:37.203 [main] INFO  utilities.Listeners - addEmployee Test execution started
19:52:37.204 [main] INFO  testCases.LoginandLogoutTest - Landed into login page
19:52:47.681 [main] INFO  testCases.LoginandLogoutTest - Logged in Successfully
19:52:51.344 [main] INFO  testCases.LoginandLogoutTest - New Employee added Successfully
19:52:52.740 [main] INFO  testCases.LoginandLogoutTest - textToBePresentInElementLocatedis not found
19:52:52.741 [main] INFO  utilities.Listeners - addEmployee Test execution started
19:52:52.742 [main] INFO  testCases.LoginandLogoutTest - Landed into login page
19:53:02.422 [main] INFO  testCases.LoginandLogoutTest - Logged in Successfully
19:53:05.872 [main] INFO  testCases.LoginandLogoutTest - New Employee added Successfully
19:53:07.132 [main] INFO  testCases.LoginandLogoutTest - textToBePresentInElementLocatedis not found
19:53:07.133 [main] INFO  testCases.LoginandLogoutTest - Success Message is matched
19:53:07.134 [main] INFO  utilities.Listeners - employeeDetails Test execution started
19:53:07.135 [main] INFO  testCases.LoginandLogoutTest - Landed into login page
19:53:15.636 [main] INFO  testCases.LoginandLogoutTest - Logged in Successfully
19:53:17.074 [main] INFO  testCases.LoginandLogoutTest - Successfully landed into Employee List page
19:53:17.516 [main] INFO  testCases.LoginandLogoutTest - Created EmployeeId is entered in the employeeId field
19:53:17.572 [main] INFO  testCases.LoginandLogoutTest - Created Employee details is displayed in the table
19:53:18.070 [main] INFO  testCases.LoginandLogoutTest - visibilityOfElementLocatedis not found
19:53:18.082 [main] INFO  testCases.LoginandLogoutTest - EmployeeId is matched
19:53:19.227 [main] INFO  utilities.Listeners - Execution completed
