17:10:49.971 [main] INFO  utilities.Listeners - Execution started
17:10:54.595 [main] INFO  utilities.Listeners - addEmployee Test execution started
17:10:54.600 [main] INFO  testCases.AddEmployeeTest - Landed into login page
17:10:56.508 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
17:10:56.514 [main] INFO  testCases.AddEmployeeTest - page title is matched
17:11:00.027 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
17:11:01.387 [main] INFO  testCases.AddEmployeeTest - Success Message is matched
17:11:01.888 [main] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
17:11:02.343 [main] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
17:11:02.399 [main] INFO  testCases.AddEmployeeTest - Created Employee details is displayed in the table
17:11:03.399 [main] INFO  testCases.AddEmployeeTest - Logged out Successfully
17:11:07.708 [main] INFO  utilities.Listeners - existEmployeeDetails Test execution started
17:11:07.709 [main] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
17:11:08.294 [main] INFO  testCases.ExistEmployeeDetailsTest - Logged in Successfully
17:11:09.481 [main] INFO  testCases.ExistEmployeeDetailsTest - page title is matched
17:11:10.960 [main] INFO  testCases.ExistEmployeeDetailsTest - Successfully landed into Employee List page
17:11:11.438 [main] INFO  testCases.ExistEmployeeDetailsTest - EmployeeId is entered in the employeeId field
17:11:11.496 [main] INFO  testCases.ExistEmployeeDetailsTest - Searched Employee entry is found in the table
17:11:12.757 [main] INFO  testCases.ExistEmployeeDetailsTest - Logged out Successfully
17:11:16.850 [main] INFO  utilities.Listeners - notExistEmployeeDetails Test execution started
17:11:16.851 [main] INFO  testCases.NotExistEmployeeDetailsTest - Landed into login page
17:11:18.650 [main] INFO  testCases.NotExistEmployeeDetailsTest - Logged in Successfully
17:11:18.655 [main] INFO  testCases.NotExistEmployeeDetailsTest - page title is matched
17:11:20.107 [main] INFO  testCases.NotExistEmployeeDetailsTest - Successfully landed into Employee List page
17:11:20.568 [main] INFO  testCases.NotExistEmployeeDetailsTest - EmployeeId is entered in the employeeId field
17:11:20.625 [main] INFO  testCases.NotExistEmployeeDetailsTest - Searched Employee entry is not found in the table
17:11:25.438 [main] INFO  utilities.Listeners - notExistEmployeeDetails Test execution started
17:11:25.439 [main] INFO  testCases.NotExistEmployeeDetailsTest - Landed into login page
17:11:27.272 [main] INFO  testCases.NotExistEmployeeDetailsTest - Logged in Successfully
17:11:27.276 [main] INFO  testCases.NotExistEmployeeDetailsTest - page title is matched
17:11:28.740 [main] INFO  testCases.NotExistEmployeeDetailsTest - Successfully landed into Employee List page
17:11:29.184 [main] INFO  testCases.NotExistEmployeeDetailsTest - EmployeeId is entered in the employeeId field
17:11:29.245 [main] INFO  testCases.NotExistEmployeeDetailsTest - Searched Employee entry is not found in the table
17:11:34.071 [main] INFO  utilities.Listeners - notExistEmployeeDetails Test execution started
17:11:34.072 [main] INFO  testCases.NotExistEmployeeDetailsTest - Landed into login page
17:11:34.657 [main] INFO  testCases.NotExistEmployeeDetailsTest - Logged in Successfully
17:11:35.831 [main] INFO  testCases.NotExistEmployeeDetailsTest - page title is matched
17:11:37.311 [main] INFO  testCases.NotExistEmployeeDetailsTest - Successfully landed into Employee List page
17:11:37.770 [main] INFO  testCases.NotExistEmployeeDetailsTest - EmployeeId is entered in the employeeId field
17:11:37.846 [main] INFO  testCases.NotExistEmployeeDetailsTest - Searched Employee entry is not found in the table
17:11:42.619 [main] INFO  utilities.Listeners - notExistEmployeeDetails Test execution started
17:11:42.620 [main] INFO  testCases.NotExistEmployeeDetailsTest - Landed into login page
17:11:44.431 [main] INFO  testCases.NotExistEmployeeDetailsTest - Logged in Successfully
17:11:44.435 [main] INFO  testCases.NotExistEmployeeDetailsTest - page title is matched
17:11:45.908 [main] INFO  testCases.NotExistEmployeeDetailsTest - Successfully landed into Employee List page
17:11:46.360 [main] INFO  testCases.NotExistEmployeeDetailsTest - EmployeeId is entered in the employeeId field
17:11:46.425 [main] INFO  testCases.NotExistEmployeeDetailsTest - Searched Employee entry is not found in the table
17:11:48.384 [main] INFO  utilities.Listeners - Execution completed
