15:04:36.453 [main] INFO  utilities.Listeners - Execution started
15:04:42.741 [main] INFO  utilities.Listeners - addEmployee Test execution started
15:04:42.751 [main] INFO  testCases.AddEmployeeTest - Landed into login page
15:04:45.106 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
15:04:45.118 [main] INFO  testCases.AddEmployeeTest - page title is matched
15:04:49.035 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
15:04:50.421 [main] INFO  testCases.AddEmployeeTest - Success Message is matched
15:04:51.022 [main] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
15:04:51.580 [main] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
15:04:52.192 [main] INFO  testCases.AddEmployeeTest - Created Employee is displayed in the table
15:04:53.240 [main] INFO  testCases.AddEmployeeTest - Logged out Successfully
15:05:02.883 [main] INFO  utilities.Listeners - existEmployeeDetails Test execution started
15:05:02.885 [main] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:05:04.574 [main] INFO  testCases.ExistEmployeeDetailsTest - Logged in Successfully
15:05:06.195 [main] INFO  testCases.ExistEmployeeDetailsTest - page title is matched
15:05:07.668 [main] INFO  testCases.ExistEmployeeDetailsTest - Successfully landed into Employee List page
15:05:08.147 [main] INFO  testCases.ExistEmployeeDetailsTest - EmployeeId is entered in the employeeId field
15:05:08.779 [main] ERROR testCases.ExistEmployeeDetailsTest - Test Failed
15:05:16.248 [main] INFO  utilities.Listeners - existEmployeeDetails Test execution started
15:05:16.249 [main] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:05:18.581 [main] INFO  testCases.ExistEmployeeDetailsTest - Logged in Successfully
15:05:18.591 [main] INFO  testCases.ExistEmployeeDetailsTest - page title is matched
15:05:20.055 [main] INFO  testCases.ExistEmployeeDetailsTest - Successfully landed into Employee List page
15:05:20.562 [main] INFO  testCases.ExistEmployeeDetailsTest - EmployeeId is entered in the employeeId field
15:05:21.131 [main] INFO  testCases.ExistEmployeeDetailsTest - Searched Employee entry is found in the table
15:05:22.096 [main] INFO  testCases.ExistEmployeeDetailsTest - Logged out Successfully
15:05:34.065 [main] INFO  utilities.Listeners - notExistEmployeeDetails Test execution started
15:05:34.068 [main] INFO  testCases.NotExistEmployeeDetailsTest - Landed into login page
15:05:39.069 [main] INFO  testCases.NotExistEmployeeDetailsTest - Logged in Successfully
15:05:40.239 [main] INFO  testCases.NotExistEmployeeDetailsTest - page title is matched
15:05:42.022 [main] INFO  testCases.NotExistEmployeeDetailsTest - Successfully landed into Employee List page
15:05:42.550 [main] INFO  testCases.NotExistEmployeeDetailsTest - EmployeeId is entered in the employeeId field
15:05:43.105 [main] INFO  testCases.NotExistEmployeeDetailsTest - Searched Employee is not found in the table
15:05:44.259 [main] INFO  testCases.NotExistEmployeeDetailsTest - Logged out Successfully
15:05:47.606 [main] INFO  utilities.Listeners - deleteEmployee Test execution started
15:05:47.607 [main] INFO  testCases.DeleteEmployeeTest - Landed into login page
15:05:51.603 [main] INFO  testCases.DeleteEmployeeTest - Logged in Successfully
15:05:51.614 [main] INFO  testCases.DeleteEmployeeTest - page title is matched
15:05:53.061 [main] INFO  testCases.DeleteEmployeeTest - Successfully landed into Employee List page
15:05:53.563 [main] INFO  testCases.DeleteEmployeeTest - EmployeeId is entered in the employeeId field
15:05:53.654 [main] INFO  testCases.DeleteEmployeeTest - Searched Employee entry is not found in the table
15:05:55.271 [main] INFO  testCases.DeleteEmployeeTest - Logged out Successfully
15:05:56.836 [main] INFO  utilities.Listeners - Execution completed
