15:22:31.252 [main] INFO  utilities.Listeners - Execution started
15:22:41.283 [main] INFO  utilities.Listeners - testLoginAndLogout Test execution started
15:22:41.291 [main] INFO  testCases.LoginandLogoutTest - Landed into login page
15:22:43.221 [main] INFO  testCases.LoginandLogoutTest - Logged in Successfully
15:22:45.157 [main] INFO  testCases.LoginandLogoutTest - page title is matched
15:22:47.944 [main] INFO  testCases.LoginandLogoutTest - Logged out Successfully
15:23:06.222 [main] INFO  utilities.Listeners - addEmployee Test execution started
15:23:06.263 [main] INFO  testCases.AddEmployeeTest - Landed into login page
15:23:10.140 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
15:23:15.003 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
15:23:16.372 [main] INFO  testCases.AddEmployeeTest - Success Message is matched
15:23:16.977 [main] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
15:23:17.600 [main] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
15:23:17.765 [main] INFO  testCases.AddEmployeeTest - Created Employee details is displayed in the table
15:23:18.451 [main] ERROR testCases.AddEmployeeTest - Test Failed
15:23:30.353 [main] INFO  utilities.Listeners - addEmployee Test execution started
15:23:30.354 [main] INFO  testCases.AddEmployeeTest - Landed into login page
15:23:36.305 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
15:23:42.935 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
15:23:53.960 [main] INFO  utilities.Listeners - addEmployee Test execution started
15:23:53.961 [main] INFO  testCases.AddEmployeeTest - Landed into login page
15:23:56.662 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
15:24:02.788 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
15:24:04.648 [main] INFO  testCases.AddEmployeeTest - Success Message is matched
15:24:05.391 [main] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
15:24:05.967 [main] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
15:24:06.102 [main] INFO  testCases.AddEmployeeTest - Created Employee details is displayed in the table
15:24:06.612 [main] INFO  testCases.AddEmployeeTest - EmployeeId is matched
15:24:13.112 [main] INFO  utilities.Listeners - employeeDetails Test execution started
15:24:13.114 [main] INFO  testCases.EmployeeDetailsTest - Landed into login page
15:24:16.070 [main] INFO  testCases.EmployeeDetailsTest - Logged in Successfully
15:24:17.818 [main] INFO  testCases.EmployeeDetailsTest - Successfully landed into Employee List page
15:24:20.384 [main] INFO  testCases.EmployeeDetailsTest - Created EmployeeId is entered in the employeeId field
15:24:20.526 [main] INFO  testCases.EmployeeDetailsTest - Created Employee details is displayed in the table
15:24:21.326 [main] ERROR testCases.EmployeeDetailsTest - Test Failed
15:24:31.322 [main] INFO  utilities.Listeners - employeeDetails Test execution started
15:24:31.323 [main] INFO  testCases.EmployeeDetailsTest - Landed into login page
15:24:36.096 [main] INFO  testCases.EmployeeDetailsTest - Logged in Successfully
15:24:38.496 [main] INFO  testCases.EmployeeDetailsTest - Successfully landed into Employee List page
15:24:39.635 [main] INFO  testCases.EmployeeDetailsTest - Created EmployeeId is entered in the employeeId field
15:24:39.770 [main] INFO  testCases.EmployeeDetailsTest - Created Employee details is displayed in the table
15:24:40.682 [main] ERROR testCases.EmployeeDetailsTest - Test Failed
15:24:50.605 [main] INFO  utilities.Listeners - employeeDetails Test execution started
15:24:50.606 [main] INFO  testCases.EmployeeDetailsTest - Landed into login page
15:24:56.174 [main] INFO  testCases.EmployeeDetailsTest - Logged in Successfully
15:24:59.151 [main] INFO  testCases.EmployeeDetailsTest - Successfully landed into Employee List page
15:24:59.713 [main] INFO  testCases.EmployeeDetailsTest - Created EmployeeId is entered in the employeeId field
15:24:59.842 [main] INFO  testCases.EmployeeDetailsTest - Created Employee details is displayed in the table
15:25:09.645 [main] INFO  utilities.Listeners - employeeDetails Test execution started
15:25:09.647 [main] INFO  testCases.EmployeeDetailsTest - Landed into login page
15:25:13.053 [main] INFO  testCases.EmployeeDetailsTest - Logged in Successfully
15:25:14.595 [main] INFO  testCases.EmployeeDetailsTest - Successfully landed into Employee List page
15:25:15.165 [main] INFO  testCases.EmployeeDetailsTest - Created EmployeeId is entered in the employeeId field
15:25:15.298 [main] INFO  testCases.EmployeeDetailsTest - Created Employee details is displayed in the table
15:25:16.110 [main] ERROR testCases.EmployeeDetailsTest - Test Failed
15:25:18.156 [main] INFO  utilities.Listeners - Execution completed
