18:45:29.871 [main] INFO  utilities.Listeners - Execution started
18:45:34.131 [main] INFO  utilities.Listeners - employeeDetails Test execution started
18:45:34.135 [main] INFO  testCases.EmployeeDetailsTest - Landed into login page
18:45:35.853 [main] INFO  testCases.EmployeeDetailsTest - Logged in Successfully
18:45:37.230 [main] INFO  testCases.EmployeeDetailsTest - Successfully landed into Employee List page
18:45:37.941 [main] INFO  testCases.EmployeeDetailsTest - Created EmployeeId is entered in the employeeId field
18:45:37.996 [main] INFO  testCases.EmployeeDetailsTest - Created Employee details is displayed in the table
18:45:38.475 [main] INFO  testCases.EmployeeDetailsTest - EmployeeId is matched
18:45:39.513 [main] INFO  utilities.Listeners - Execution completed
