10:37:27.472 [main] INFO  utilities.Listeners - Execution started
10:37:37.162 [main] INFO  utilities.Listeners - testLoginAndLogout Test execution started
10:37:37.169 [main] INFO  testCases.LoginandLogoutTest - Landed into login page
10:37:38.617 [main] INFO  testCases.LoginandLogoutTest - Logged in Successfully
10:37:40.644 [main] INFO  testCases.LoginandLogoutTest - page title is matched
10:37:43.175 [main] INFO  testCases.LoginandLogoutTest - Logged out Successfully
10:37:50.801 [main] INFO  utilities.Listeners - addEmployee Test execution started
10:37:50.833 [main] INFO  testCases.AddEmployeeTest - Landed into login page
10:37:53.454 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
10:37:57.228 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
10:37:58.588 [main] INFO  testCases.AddEmployeeTest - Success Message is matched
10:37:59.163 [main] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
10:37:59.786 [main] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
10:37:59.893 [main] INFO  testCases.AddEmployeeTest - Created Employee details is displayed in the table
10:38:00.510 [main] ERROR testCases.AddEmployeeTest - Test Failed
10:38:05.399 [main] INFO  utilities.Listeners - addEmployee Test execution started
10:38:05.400 [main] INFO  testCases.AddEmployeeTest - Landed into login page
10:38:07.490 [main] INFO  testCases.AddEmployeeTest - Logged in Successfully
10:38:11.186 [main] INFO  testCases.AddEmployeeTest - New Employee added Successfully
10:38:12.480 [main] INFO  testCases.AddEmployeeTest - Success Message is matched
10:38:13.066 [main] INFO  testCases.AddEmployeeTest - Successfully landed into Employee List page
10:38:13.610 [main] INFO  testCases.AddEmployeeTest - Created EmployeeId is entered in the employeeId field
10:38:13.721 [main] INFO  testCases.AddEmployeeTest - Created Employee details is displayed in the table
10:38:14.193 [main] INFO  testCases.AddEmployeeTest - EmployeeId is matched
10:38:23.841 [main] INFO  utilities.Listeners - employeeDetails Test execution started
10:38:23.843 [main] INFO  testCases.EmployeeDetailsTest - Landed into login page
10:38:27.209 [main] INFO  testCases.EmployeeDetailsTest - Logged in Successfully
10:38:28.628 [main] INFO  testCases.EmployeeDetailsTest - Successfully landed into Employee List page
10:38:29.132 [main] INFO  testCases.EmployeeDetailsTest - Created EmployeeId is entered in the employeeId field
10:38:29.242 [main] INFO  testCases.EmployeeDetailsTest - Created Employee details is displayed in the table
10:38:29.686 [main] INFO  testCases.EmployeeDetailsTest - EmployeeId is matched
10:38:31.482 [main] INFO  utilities.Listeners - Execution completed
