12:19:25.081 [main] INFO  utilities.Listeners - Execution started
12:19:29.874 [main] INFO  utilities.Listeners - addEmployee Test execution started
12:19:29.880 [main] INFO  testCases.AddEmployeeTest - Landed into login page
12:19:36.514 [main] INFO  utilities.Listeners - addEmployee Test execution started
12:19:36.515 [main] INFO  testCases.AddEmployeeTest - Landed into login page
12:19:38.639 [main] INFO  utilities.Listeners - addEmployee Test execution started
12:19:38.641 [main] INFO  testCases.AddEmployeeTest - Landed into login page
12:19:40.976 [main] INFO  utilities.Listeners - addEmployee Test execution started
12:19:41.003 [main] INFO  testCases.AddEmployeeTest - Landed into login page
12:19:41.951 [main] INFO  utilities.Listeners - Execution completed
