15:52:40.037 [main] INFO  utilities.Listeners - Execution started
15:52:46.242 [TestNG-test=Test-2] INFO  utilities.Listeners - existEmployeeDetails Test execution started
15:52:46.249 [TestNG-test=Test-2] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:52:47.595 [TestNG-test=Test-3] INFO  utilities.Listeners - notExistEmployeeDetails Test execution started
15:52:47.596 [TestNG-test=Test-3] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:52:49.340 [TestNG-test=Test-1] INFO  utilities.Listeners - addEmployee Test execution started
15:52:49.375 [TestNG-test=Test-1] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:52:50.639 [TestNG-test=Test-4] INFO  utilities.Listeners - deleteEmployee Test execution started
15:52:50.640 [TestNG-test=Test-4] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:52:55.489 [TestNG-test=Test-2] INFO  testCases.ExistEmployeeDetailsTest - Logged in Successfully
15:52:55.500 [TestNG-test=Test-2] INFO  testCases.ExistEmployeeDetailsTest - page title is matched
15:52:55.522 [TestNG-test=Test-4] INFO  utilities.Listeners - deleteEmployee Test execution started
15:52:55.522 [TestNG-test=Test-3] INFO  utilities.Listeners - notExistEmployeeDetails Test execution started
15:52:55.523 [TestNG-test=Test-4] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:52:55.523 [TestNG-test=Test-3] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:52:55.526 [TestNG-test=Test-2] ERROR testCases.ExistEmployeeDetailsTest - Test Failed
15:52:55.528 [TestNG-test=Test-4] INFO  utilities.Listeners - deleteEmployee Test execution started
15:52:55.530 [TestNG-test=Test-4] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:52:55.530 [TestNG-test=Test-3] INFO  utilities.Listeners - notExistEmployeeDetails Test execution started
15:52:55.531 [TestNG-test=Test-3] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:52:55.535 [TestNG-test=Test-4] INFO  utilities.Listeners - deleteEmployee Test execution started
15:52:55.536 [TestNG-test=Test-4] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:52:55.536 [TestNG-test=Test-3] INFO  utilities.Listeners - notExistEmployeeDetails Test execution started
15:52:55.537 [TestNG-test=Test-3] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:52:55.801 [TestNG-test=Test-1] INFO  utilities.Listeners - addEmployee Test execution started
15:52:55.802 [TestNG-test=Test-1] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:52:55.804 [TestNG-test=Test-1] INFO  utilities.Listeners - addEmployee Test execution started
15:52:55.805 [TestNG-test=Test-1] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:52:55.808 [TestNG-test=Test-1] INFO  utilities.Listeners - addEmployee Test execution started
15:52:55.808 [TestNG-test=Test-1] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:53:01.549 [TestNG-test=Test-2] INFO  utilities.Listeners - existEmployeeDetails Test execution started
15:53:01.550 [TestNG-test=Test-2] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:53:03.030 [TestNG-test=Test-2] INFO  testCases.ExistEmployeeDetailsTest - Logged in Successfully
15:53:10.593 [TestNG-test=Test-2] INFO  testCases.ExistEmployeeDetailsTest - page title is matched
15:53:18.162 [TestNG-test=Test-2] INFO  testCases.ExistEmployeeDetailsTest - Successfully landed into Employee List page
15:53:20.132 [TestNG-test=Test-2] INFO  testCases.ExistEmployeeDetailsTest - EmployeeId is entered in the employeeId field
15:53:32.544 [TestNG-test=Test-2] ERROR testCases.ExistEmployeeDetailsTest - Test Failed
15:53:36.756 [TestNG-test=Test-2] INFO  utilities.Listeners - existEmployeeDetails Test execution started
15:53:36.757 [TestNG-test=Test-2] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:53:41.380 [TestNG-test=Test-2] INFO  utilities.Listeners - existEmployeeDetails Test execution started
15:53:41.381 [TestNG-test=Test-2] INFO  testCases.ExistEmployeeDetailsTest - Landed into login page
15:53:42.313 [main] INFO  utilities.Listeners - Execution completed
